tpid	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId									
17	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Abbreviation	abbreviation	http://purl.bioontology.org/ontology/SNOMEDCT/398223008	YLD	PMC4321030									
18	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Description	description	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25365	Fruit yield (kg)	PMC4321030									
19	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.91‡	PMC4321030									
20	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
21	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
22	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Genotype	genotype	http://www.ebi.ac.uk/efo/EFO_0000513	1.91‡	PMC4321030									
23	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	F Values Location	location	http://biohackathon.org/resource/faldo#Position	—	PMC4321030									
24	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
25	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
26	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	At4g10050	PMC4321030									
27	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Location(s)	location	http://biohackathon.org/resource/faldo#Position	3	PMC4321030									
28	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak LOD/ Threshold LOD	LOD	http://purl.bioontology.org/ontology/SNOMEDCT/58577001	4.14/1.69	PMC4321030									
29	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Group	group	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Hort11-3	PMC4321030									
