qtl_id,traitName_asinArticle,traitName_ontologyTerm,traitUri,featureName_asinArticle,featureName_ontologyTerm,featureUri_ontologyId,featureValue,featureValue_ontologyTerm,featureValueUri_ontologyId,pmcId,doi,tableId
PMC2271080_Table 2_0,Parthenocarpy level (%)a,Parthenocarpy level (%)a,,Genotype SL/SL (nc),genotype,http://www.ebi.ac.uk/efo/EFO_0000513,1.8,1.8,,PMC2271080,10.1007/s00122-007-0708-9,PMC2271080_Table 2
PMC2271080_Table 2_1,Parthenocarpy level (%)a,Parthenocarpy level (%)a,,Genotype SH/SH (n),genotype,http://www.ebi.ac.uk/efo/EFO_0000513,39.8,39.8,,PMC2271080,10.1007/s00122-007-0708-9,PMC2271080_Table 2
PMC2271080_Table 2_2,Parthenocarpy level (%)a,Parthenocarpy level (%)a,,Genotype SL/SH (n),genotype,http://www.ebi.ac.uk/efo/EFO_0000513,28.3,28.3,,PMC2271080,10.1007/s00122-007-0708-9,PMC2271080_Table 2
PMC4579088_Table 2_3,IT,IT,,Solyc ID,Solyc ID,,Solyc08g076880,Solyc08g076880,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_4,ED,ED,,Solyc ID,Solyc ID,,Solyc11g071670,Solyc11g071670,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_5,FSL,FSL,,Solyc ID,Solyc ID,,Solyc03g025720,Solyc03g025720,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_6,BES,BES,,Solyc ID,Solyc ID,,Solyc11g071840,Solyc11g071840,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_7,ED,ED,,Solyc ID,Solyc ID,,Solyc02g070260,Solyc02g070260,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_8,LN,LN,,Solyc ID,Solyc ID,,Solyc10g074950,Solyc10g074950,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_9,LN,LN,,Solyc ID,Solyc ID,,Solyc02g084520,Solyc02g084520,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_10,ED,ED,,Solyc ID,Solyc ID,,Solyc11g071530,Solyc11g071530,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_11,PH,pH,http://purl.obolibrary.org/obo/SP_0000170,Solyc ID,Solyc ID,,Solyc10g008240,Solyc10g008240,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_12,BES,BES,,Solyc ID,Solyc ID,,Solyc01g006490,Solyc01g006490,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_13,PT,PT,,Solyc ID,Solyc ID,,Solyc11g010480,Solyc11g010480,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_14,PT,PT,,Solyc ID,Solyc ID,,Solyc11g010500,Solyc11g010500,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_15,PT,PT,,Solyc ID,Solyc ID,,Solyc11g010520,Solyc11g010520,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_16,PT,PT,,Solyc ID,Solyc ID,,Solyc11g010560,Solyc11g010560,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_17,BES,BES,,Solyc ID,Solyc ID,,Solyc02g092770,Solyc02g092770,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_18,PI,PI,,Solyc ID,Solyc ID,,Solyc02g082030,Solyc02g082030,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_19,FC,FC,,Solyc ID,Solyc ID,,Solyc01g079760,Solyc01g079760,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_20,BES,BES,,Solyc ID,Solyc ID,,Solyc11g071640,Solyc11g071640,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_21,ED,ED,,Solyc ID,Solyc ID,,Solyc11g071660,Solyc11g071660,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_22,SES,SES,,Solyc ID,Solyc ID,,Solyc11g071900,Solyc11g071900,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_23,ED,ED,,Solyc ID,Solyc ID,,Solyc11g071340,Solyc11g071340,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_24,PI,PI,,Solyc ID,Solyc ID,,Solyc05g009910,Solyc05g009910,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_25,FS,FS,,Solyc ID,Solyc ID,,Solyc01g106860,Solyc01g106860,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_26,GH,GH,,Solyc ID,Solyc ID,,Solyc01g091770,Solyc01g091770,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_27,FLC,FLC,,Solyc ID,Solyc ID,,Solyc04g076250,Solyc04g076250,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_28,BES,BES,,Solyc ID,Solyc ID,,Solyc02g090960,Solyc02g090960,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_29,BES,BES,,Solyc ID,Solyc ID,,Solyc02g083900,Solyc02g083900,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_30,ED,ED,,Solyc ID,Solyc ID,,Solyc02g083990,Solyc02g083990,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_31,ED,ED,,Solyc ID,Solyc ID,,Solyc02g081640,Solyc02g081640,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_32,FSC,FSC,,Solyc ID,Solyc ID,,Solyc10g054010,Solyc10g054010,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
PMC4579088_Table 2_33,FSC,FSC,,Solyc ID,Solyc ID,,Solyc10g051110,Solyc10g051110,,PMC4579088,10.1371/journal.pone.0137139,PMC4579088_Table 2
