entity_uri ,entity_name 
http://purl.obolibrary.org/obo/PO_0005417 ,phloem 
http://purl.obolibrary.org/obo/PO_0025253 ,seventh order infructescence branch 
http://purl.obolibrary.org/obo/PO_0025517 ,leaf lamina lobe 
http://purl.obolibrary.org/obo/PO_0005597 ,cambium 
http://purl.obolibrary.org/obo/PO_0007602 ,floral organ primordium development stage 
http://purl.obolibrary.org/obo/PO_0020019 ,megaspore 
http://purl.obolibrary.org/obo/PO_0004533 ,axial secondary xylem parenchyma 
http://purl.obolibrary.org/obo/PO_0009108 ,inflorescence apical meristem 
http://purl.obolibrary.org/obo/PO_0025062 ,aerial tuber perimedullary zone 
http://purl.obolibrary.org/obo/PO_0025605 ,fruit pedicel abscission zone 
http://purl.obolibrary.org/obo/PO_0025081 ,subterranean tuber axillary shoot 
http://purl.obolibrary.org/obo/PO_0006001 ,phyllome 
http://purl.obolibrary.org/obo/PO_0025050 ,tuber interfascicular region 
http://purl.obolibrary.org/obo/PO_0006305 ,L3 
http://purl.obolibrary.org/obo/PO_0007606 ,gynoecium development stage 
http://purl.obolibrary.org/obo/PO_0006346 ,leaf intercalary meristem 
http://purl.obolibrary.org/obo/PO_0020065 ,indehiscent fruit 
http://purl.obolibrary.org/obo/PO_0007007 ,whole plant fruit formation stage 50 to 70% 
http://purl.obolibrary.org/obo/PO_0025208 ,carpel trichome 
http://purl.obolibrary.org/obo/PO_0004518 ,bark 
http://purl.obolibrary.org/obo/PO_0025341 ,gametophyte reproductive stage 
http://purl.obolibrary.org/obo/PO_0030071 ,epidermal rhizoid 
http://purl.obolibrary.org/obo/PO_0006208 ,endodermal passage cell 
http://purl.obolibrary.org/obo/PO_0000084 ,plant sperm cell 
http://purl.obolibrary.org/obo/PO_0006323 ,tassel inflorescence branch 
http://purl.obolibrary.org/obo/PO_0025242 ,infructescence axis 
http://purl.obolibrary.org/obo/PO_0000044 ,prop root 
http://purl.obolibrary.org/obo/PO_0000014 ,rosette leaf 
http://purl.obolibrary.org/obo/PO_0025328 ,unifacial vascular leaf 
http://purl.obolibrary.org/obo/PO_0025159 ,bract abaxial epidermis 
http://purl.obolibrary.org/obo/PO_0007623 ,A megaspore mother cell enlarges stage 
http://purl.obolibrary.org/obo/PO_0025451 ,secondary xylem vessel 
http://purl.obolibrary.org/obo/PO_0020032 ,plumule 
http://purl.obolibrary.org/obo/PO_0007111 ,SE.12 twelve nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0009034 ,flower bract 
http://purl.obolibrary.org/obo/PO_0004724 ,hypocotyl-root junction 
http://purl.obolibrary.org/obo/PO_0030058 ,brachycyte 
http://purl.obolibrary.org/obo/PO_0006310 ,tassel floret 
http://purl.obolibrary.org/obo/PO_0025066 ,stalk 
http://purl.obolibrary.org/obo/PO_0006033 ,palea apiculus 
http://purl.obolibrary.org/obo/PO_0025347 ,thallus vegetative whole plant development stage 
http://purl.obolibrary.org/obo/PO_0007046 ,IL.01 1/4 inflorescence length reached stage 
http://purl.obolibrary.org/obo/PO_0007628 ,F four nucleate megagametophyte stage 
http://purl.obolibrary.org/obo/PO_0006215 ,leaf aerenchyma 
http://purl.obolibrary.org/obo/PO_0008019 ,leaf lamina base 
http://purl.obolibrary.org/obo/PO_0006039 ,shoot-borne root epidermis 
http://purl.obolibrary.org/obo/PO_0025511 ,petal spur 
http://purl.obolibrary.org/obo/PO_0025002 ,basal root 
http://purl.obolibrary.org/obo/PO_0025531 ,bud swell stage 
http://purl.obolibrary.org/obo/PO_0025450 ,primary xylem vessel 
http://purl.obolibrary.org/obo/PO_0025056 ,aerial tuber cortex 
http://purl.obolibrary.org/obo/PO_0025436 ,root cork cambium 
http://purl.obolibrary.org/obo/PO_0025010 ,petiole margin 
http://purl.obolibrary.org/obo/PO_0009066 ,anther 
http://purl.obolibrary.org/obo/PO_0025560 ,triarch protoxylem 
http://purl.obolibrary.org/obo/PO_0006035 ,shoot system epidermis 
http://purl.obolibrary.org/obo/PO_0006074 ,obsolete procambium 
http://purl.obolibrary.org/obo/PO_0008046 ,floral stomatal pore 
http://purl.obolibrary.org/obo/PO_0006205 ,spongy mesophyll cell 
http://purl.obolibrary.org/obo/PO_0000006 ,plant protoplast 
http://purl.obolibrary.org/obo/PO_0005632 ,lacunar collenchyma 
http://purl.obolibrary.org/obo/PO_0009053 ,peduncle 
http://purl.obolibrary.org/obo/PO_0006061 ,stigma epidermis 
http://purl.obolibrary.org/obo/PO_0025077 ,terminal strobilus bud 
http://purl.obolibrary.org/obo/PO_0025315 ,megasporangium tapetum 
http://purl.obolibrary.org/obo/PO_0001025 ,C four anther lobes formed stage 
http://purl.obolibrary.org/obo/PO_0004515 ,early wood 
http://purl.obolibrary.org/obo/PO_0007102 ,5.04 40% of inflorescence emerged 
http://purl.obolibrary.org/obo/PO_0003015 ,primary root differentiation zone 
http://purl.obolibrary.org/obo/PO_0000027 ,lateral root tip 
http://purl.obolibrary.org/obo/PO_0025387 ,plant cuticle proper 
http://purl.obolibrary.org/obo/PO_0009105 ,inflorescence branch meristem 
http://purl.obolibrary.org/obo/PO_0025321 ,cotyledonary node 
http://purl.obolibrary.org/obo/PO_0001094 ,plant embryo coleoptilar stage 
http://purl.obolibrary.org/obo/PO_0004715 ,terminal inflorescence bud 
http://purl.obolibrary.org/obo/PO_0025317 ,axillary hair terminal cell 
http://purl.obolibrary.org/obo/PO_0006050 ,exotesta 
http://purl.obolibrary.org/obo/PO_0025246 ,persistent tepal 
http://purl.obolibrary.org/obo/PO_0025153 ,peduncle trichome 
http://purl.obolibrary.org/obo/PO_0025161 ,portion of plant substance 
http://purl.obolibrary.org/obo/PO_0030014 ,gametophyte meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0006207 ,exodermal passage cell 
http://purl.obolibrary.org/obo/PO_0008028 ,reproductive shoot apical meristem 
http://purl.obolibrary.org/obo/PO_0005010 ,anther septum 
http://purl.obolibrary.org/obo/PO_0001052 ,vascular leaf expansion stage 
http://purl.obolibrary.org/obo/PO_0004543 ,shoot axis tuber 
http://purl.obolibrary.org/obo/PO_0001019 ,vascular leaf primordium formation stage 
http://purl.obolibrary.org/obo/PO_0007539 ,B2 lateral root meristem formation 
http://purl.obolibrary.org/obo/PO_0025484 ,petal anlagen 
http://purl.obolibrary.org/obo/PO_0008017 ,leaf sheath pulvinus 
http://purl.obolibrary.org/obo/PO_0025590 ,receptacle pith 
http://purl.obolibrary.org/obo/PO_0025474 ,tension wood 
http://purl.obolibrary.org/obo/PO_0006377 ,tassel spikelet meristem 
http://purl.obolibrary.org/obo/PO_0025263 ,locule 
http://purl.obolibrary.org/obo/PO_0025069 ,aerial tuber axillary bud meristem 
http://purl.obolibrary.org/obo/PO_0006005 ,carpel anlagen 
http://purl.obolibrary.org/obo/PO_0009001 ,fruit 
http://purl.obolibrary.org/obo/PO_0025080 ,branch internode 
http://purl.obolibrary.org/obo/PO_0000023 ,casparian strip 
http://purl.obolibrary.org/obo/PO_0004711 ,axillary inflorescence bud 
http://purl.obolibrary.org/obo/PO_0025453 ,secondary phloem sieve element 
http://purl.obolibrary.org/obo/PO_0006440 ,upper glume of sessile spikelet of ear 
http://purl.obolibrary.org/obo/PO_0030015 ,sporophyte meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0001099 ,formation of aleurone and starchy layers stage 
http://purl.obolibrary.org/obo/PO_0030010 ,shoot axis meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0006435 ,rachilla of pedicellate spikelet of ear 
http://purl.obolibrary.org/obo/PO_0025313 ,tapetum 
http://purl.obolibrary.org/obo/PO_0025009 ,leaf lamina margin 
http://purl.obolibrary.org/obo/PO_0006200 ,fascicular cambium 
http://purl.obolibrary.org/obo/PO_0007527 ,2 root meristem formation stage 
http://purl.obolibrary.org/obo/PO_0007129 ,7.08 fruit size 80% 
http://purl.obolibrary.org/obo/PO_0001006 ,B enlarged microsporocyte stage 
http://purl.obolibrary.org/obo/PO_0004707 ,fruit dehiscence zone 
http://purl.obolibrary.org/obo/PO_0007066 ,SE.09 nine nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0020108 ,suspensor 
http://purl.obolibrary.org/obo/PO_0008020 ,central zone of the leaf lamina 
http://purl.obolibrary.org/obo/PO_0006015 ,female archesporial cell 
http://purl.obolibrary.org/obo/PO_0025421 ,septate phloem fiber cell 
http://purl.obolibrary.org/obo/PO_0025037 ,fruit storage parenchyma 
http://purl.obolibrary.org/obo/PO_0006386 ,lower glume of sessile spikelet of tassel 
http://purl.obolibrary.org/obo/PO_0000002 ,anther wall 
http://purl.obolibrary.org/obo/PO_0009023 ,leaf axil 
http://purl.obolibrary.org/obo/PO_0025523 ,tuberous root 
http://purl.obolibrary.org/obo/PO_0007076 ,late rosette growth stage 
http://purl.obolibrary.org/obo/PO_0005016 ,replum 
http://purl.obolibrary.org/obo/PO_0005647 ,spongy mesophyll 
http://purl.obolibrary.org/obo/PO_0025596 ,root system ground meristem 
http://purl.obolibrary.org/obo/PO_0006210 ,protoderm 
http://purl.obolibrary.org/obo/PO_0009039 ,glume 
http://purl.obolibrary.org/obo/PO_0025555 ,root system exarch protoxylem 
http://purl.obolibrary.org/obo/PO_0008041 ,stem internode elongation zone 
http://purl.obolibrary.org/obo/PO_0025255 ,ninth or higher order infructescence branch 
http://purl.obolibrary.org/obo/PO_0005026 ,root giant cell 
http://purl.obolibrary.org/obo/PO_0025017 ,plant spore 
http://purl.obolibrary.org/obo/PO_0007513 ,root cortex differentiation stage 
http://purl.obolibrary.org/obo/PO_0007085 ,LP.14 fourteen leaves visible stage 
http://purl.obolibrary.org/obo/PO_0025197 ,stele 
