 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0007602" , "floral organ primordium development stage" , "stage 4 flower in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007602" , "floral organ primordium development stage" , "stage 2 flower in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007602" , "floral organ primordium development stage" , "stage 3 flower in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007602" , "floral organ primordium development stage" , "stage 5 flower in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0020019" , "megaspore" , "macrospore" ,
 "http://purl.obolibrary.org/obo/PO_0025605" , "fruit pedicel abscission zone" , "pedicel joint" ,
 "http://purl.obolibrary.org/obo/PO_0007606" , "gynoecium development stage" , "ovule development" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "late milk" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "8.02-early milk in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "8.02-early milk in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "early milk stage" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "7.07 Pod 70% of final length in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "early milk stage in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "8.02-early milk in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "Zadok scale-73, Haun scale-13" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "tomato immature green" ,
 "http://purl.obolibrary.org/obo/PO_0007007" , "whole plant fruit formation stage 50 to 70%" , "FF.03 fruit size 70% in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0000084" , "plant sperm cell" , "sperm nucleus" ,
 "http://purl.obolibrary.org/obo/PO_0000044" , "prop root" , "brace root" ,
 "http://purl.obolibrary.org/obo/PO_0007623" , "A megaspore mother cell enlarges stage" , "ovule stage OV2" ,
 "http://purl.obolibrary.org/obo/PO_0007623" , "A megaspore mother cell enlarges stage" , "ovule stage 2-I in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0020032" , "plumule" , "embryonic shoot" ,
 "http://purl.obolibrary.org/obo/PO_0007111" , "SE.12 twelve nodes or internodes visible stage" , "3.12 12 nodes/internodes visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007111" , "SE.12 twelve nodes or internodes visible stage" , "3.4 late vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0009034" , "flower bract" , "chaff" ,
 "http://purl.obolibrary.org/obo/PO_0025066" , "stalk" , "stipe" ,
 "http://purl.obolibrary.org/obo/PO_0006033" , "palea apiculus" , "apiculus" ,
 "http://purl.obolibrary.org/obo/PO_0007046" , "IL.01 1/4 inflorescence length reached stage" , "4.02 1/4 of inflorescence length reached in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007628" , "F four nucleate megagametophyte stage" , "ovule stage 3-IV in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007628" , "F four nucleate megagametophyte stage" , "ovule stage OV8" ,
 "http://purl.obolibrary.org/obo/PO_0006039" , "shoot-borne root epidermis" , "crown root epidermis" ,
 "http://purl.obolibrary.org/obo/PO_0006205" , "spongy mesophyll cell" , "spongy parenchyma cell" ,
 "http://purl.obolibrary.org/obo/PO_0009053" , "peduncle" , "inflorescence stem " ,
 "http://purl.obolibrary.org/obo/PO_0004515" , "early wood" , "spring wood" ,
 "http://purl.obolibrary.org/obo/PO_0001094" , "plant embryo coleoptilar stage" , "SAM and radicle formation stage" ,
 "http://purl.obolibrary.org/obo/PO_0001094" , "plant embryo coleoptilar stage" , "embryo stage EM5" ,
 "http://purl.obolibrary.org/obo/PO_0006050" , "exotesta" , "seed coat outer epidermis" ,
 "http://purl.obolibrary.org/obo/PO_0001052" , "vascular leaf expansion stage" , "leaf expansion stage in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0001019" , "vascular leaf primordium formation stage" , "P1 stage" ,
 "http://purl.obolibrary.org/obo/PO_0001019" , "vascular leaf primordium formation stage" , "leaf stage P1" ,
 "http://purl.obolibrary.org/obo/PO_0030015" , "sporophyte meristematic apical cell" , "sporophyte apical initial" ,
 "http://purl.obolibrary.org/obo/PO_0030015" , "sporophyte meristematic apical cell" , "sporophyte apical cell" ,
 "http://purl.obolibrary.org/obo/PO_0001006" , "B enlarged microsporocyte stage" , "pollen stage 2 in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007066" , "SE.09 nine nodes or internodes visible stage" , "BBCH growth stage 39" ,
 "http://purl.obolibrary.org/obo/PO_0007066" , "SE.09 nine nodes or internodes visible stage" , "3.09 9 nodes/internodes visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007066" , "SE.09 nine nodes or internodes visible stage" , "3.3 mid-vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007076" , "late rosette growth stage" , "late rosette growth in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0005647" , "spongy mesophyll" , "spongy parenchyma" ,
 "http://purl.obolibrary.org/obo/PO_0006210" , "protoderm" , "dermatogen cell" ,
 "http://purl.obolibrary.org/obo/PO_0009039" , "glume" , "rudimentary glume" ,
 "http://purl.obolibrary.org/obo/PO_0007513" , "root cortex differentiation stage" , "cortex differentiation of crown root." ,
 "http://purl.obolibrary.org/obo/PO_0007513" , "root cortex differentiation stage" , "cortex differentiation of primary root." ,
 "http://purl.obolibrary.org/obo/PO_0007513" , "root cortex differentiation stage" , "cortex differentiation of lateral root" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "V14 in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "fourteen leaves unfolded" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "3.03-mid-vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "maize growth stage-3.3" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "14 rosette leaf in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "3.3 mid-vegetative stage of maize" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "Stage V13 in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "1.14 13th trifoliolate leaf unfolded in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "3.3 mid-vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "fourteen rosette leaves" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting stage" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "sorghum growth stage-6" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "07-boot stage in sorghum" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "development of vegetatively propogated organs" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "BBCH growth stage 4.0" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "rice growth stage-5" ,
 "http://purl.obolibrary.org/obo/PO_0005423" , "collenchyma" , "supporting tissue" ,
