PO:0000001	embryo proper
PO:0000002	anther wall
PO:0000003	whole plant
PO:0000004	in vitro plant structure
PO:0000005	cultured plant cell
PO:0000006	plant protoplast
PO:0000007	leaf-derived cultured plant cell
PO:0000008	root-derived cultured plant cell
PO:0000009	cultured plant callus
PO:0000010	cultured plant embryo
PO:0000011	cultured somatic plant embryo
PO:0000012	apical hook
PO:0000013	cauline leaf
PO:0000014	rosette leaf
PO:0000015	cotyledon primordium
PO:0000016	lateral root primordium
PO:0000017	vascular leaf primordium
PO:0000018	ovule primordium
PO:0000019	gynoecium primordium
PO:0000020	starch sheath cell
PO:0000021	petal primordium
PO:0000022	plant cuticle
PO:0000023	casparian strip
PO:0000024	filiform apparatus
PO:0000025	root tip
PO:0000026	primary root tip
PO:0000027	lateral root tip
PO:0000028	pollen tube tip
PO:0025195	pollen tube cell
PO:0000029	root hair tip
PO:0000256	root hair cell
PO:0000030	septum
PO:0000031	lenticel
PO:0000032	tetrad of microspores
PO:0000033	fruit valve
PO:0000034	vascular system
PO:0000035	cotyledon vascular system
PO:0000036	leaf vascular system
PO:0000037	shoot apex
PO:0000038	primary endosperm cell
PO:0000039	shoot axis vascular system
PO:0000040	adventitious root nodule
PO:0000041	epidermal cork cell
PO:0000042	shoot-borne root
PO:0000043	crown root
PO:0000044	prop root
PO:0000045	embryo root
PO:0000046	seminal root
PO:0000047	leaf lamina epidermis
PO:0000048	leaf lamina vascular system
PO:0000049	leaf lamina abaxial epidermis
PO:0000050	leaf lamina adaxial epidermis
PO:0000051	petiole epidermis
PO:0000052	petiole vascular system
PO:0000053	petiole cortex
PO:0000054	petal vascular system
PO:0000055	bud
PO:0000056	flower bud
PO:0000057	inflorescence bud
PO:0000058	vegetative bud
PO:0000059	root initial cell
PO:0000060	root cortex-endodermis initial cell
PO:0000061	lateral root-cap epidermal initial cell
PO:0000062	stomatal initial cell
PO:0000063	leaf procambial cell
PO:0000064	xylem pole pericycle cell
PO:0000065	phloem pole pericycle cell
PO:0000066	epithem cell
PO:0000071	companion cell
PO:0000074	parenchyma cell
PO:0000075	collenchyma cell
PO:0000076	chlorenchyma cell
PO:0000077	sclerenchyma cell
PO:0000078	transfer cell
PO:0000079	fusiform initial cell
