qtl_id,traitName_asinArticle,traitName_ontologyTerm,traitUri,featureName_asinArticle,featureName_ontologyTerm,featureUri_ontologyId,featureValue,featureValue_ontologyTerm,featureValueUri_ontologyId,pmcId,doi,tableId
PMC4266912_Table 3_0,Traita,Traita,,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,SolCap ID,SolCap ID,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_1,AsA,AsA,,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_20936,solcap_snp_sl_20936,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_20936,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_2,AsA,AsA,,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc03g112630.2.1,Solyc03g112630.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_3,log (β-C),log (β-C),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc01g087600.2.1,Solyc01g087600.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_4,log (β-C),log (β-C),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_17063,solcap_snp_sl_17063,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_17063,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_5,log (t-LYC),log (t-LYC),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc03g031480.2.1,Solyc03g031480.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_6,log (t-LYC),log (t-LYC),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_27094,solcap_snp_sl_27094,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_27094,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_7,log (PHE),log (PHE),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc08g082350.2.1,Solyc08g082350.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_8,log (PHE),log (PHE),,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_100367,solcap_snp_sl_100367,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_100367,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_9,log (FW),plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_23884,solcap_snp_sl_23884,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_23884,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_10,log (FW),plant fresh weight,http://purl.obolibrary.org/obo/TO_0000442,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc02g078790.2.1,Solyc02g078790.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_11,log (pH),pH,http://purl.obolibrary.org/obo/SP_0000170,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_19556,solcap_snp_sl_19556,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_19556,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_12,log (pH),pH,http://purl.obolibrary.org/obo/SP_0000170,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc11g017070.1.1,Solyc11g017070.1.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_13,log (TA),titratable acids,http://purl.obolibrary.org/obo/SP_0000345,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,solcap_snp_sl_54697,solcap_snp_sl_54697,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_54697,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
PMC4266912_Table 3_14,log (TA),titratable acids,http://purl.obolibrary.org/obo/SP_0000345,ASSOCIATION STATISTICS,statistics,http://purl.obolibrary.org/obo/STATO_0000039,Solyc01g107550.2.1,Solyc01g107550.2.1,,PMC4266912,10.1186/s12870-014-0337-9,PMC4266912_Table 3
