TraitId;TraitName;TraitValues;TraitProperties;OtherProperties;pmcId
1;Ascorbic Acid (mg 100 g−1 FW);{"Mean":"33.59","Min":"22.40","CV%":"17.33","Max":"51.23","H2":"0.56"};{};{};PMC4266912
2;β-carotene (μg g−1 FW)a;{"Mean":"1.99","Min":"0.11","CV%":"60.02","Max":"7.79","H2":"0.75"};{};{};PMC4266912
3;Trans-lycopene (μg g−1 FW);{"Mean":"85.50","Min":"0.19","CV%":"54.97","Max":"193.17","H2":"0.61"};{};{};PMC4266912
4;Cis-lycopene (μg g−1 FW);{"Mean":"3.40","Min":"0.00","CV%":"56.13","Max":"8.60","H2":"0.48"};{};{};PMC4266912
5;Phenolics (mg GAE 100 g−1 FW);{"Mean":"48.73","Min":"25.06","CV%":"20.47","Max":"86.23","H2":"0.52"};{};{};PMC4266912
6;Dry matter weight (g 100 g−1 FW);{"Mean":"8.56","Min":"6.50","CV%":"12.47","Max":"10.93","H2":"0.53"};{};{};PMC4266912
7;Fresh Weight (g);{"Mean":"65.92","Min":"5.35","CV%":"90.92","Max":"313.50","H2":"0.87"};{};{};PMC4266912
8;pH (pH units);{"Mean":"4.35","Min":"4.08","CV%":"2.87","Max":"4.79","H2":"0.64"};{};{};PMC4266912
9;Soluble solids content (Brix);{"Mean":"6.60","Min":"5.13","CV%":"11.54","Max":"8.90","H2":"0.87"};{};{};PMC4266912
10;Titratable acidity (g c.a. 100 mL−1 juice);{"Mean":"0.47","Min":"0.27","CV%":"21.54","Max":"0.75","H2":"0.66"};{};{};PMC4266912
11;Ascorbic Acid;{"Regression results P-value":"0.001","Regression results R2":"0.170"};{};{};PMC4266912
12;β-carotene;{"Regression results P-value":"0.050","Regression results R2":"0.073"};{};{};PMC4266912
13;Trans-lycopene;{"Regression results P-value":"0.118","Regression results R2":"0.053"};{};{};PMC4266912
14;Cis-lycopene;{"Regression results P-value":"0.013","Regression results R2":"0.105"};{};{};PMC4266912
15;Phenolics;{"Regression results P-value":"0.001","Regression results R2":"0.175"};{};{};PMC4266912
16;Dry matter weight;{"Regression results P-value":"0.011","Regression results R2":"0.108"};{};{};PMC4266912
17;Fresh Weight;{"Regression results P-value":"0.001","Regression results R2":"0.416"};{};{};PMC4266912
18;pH;{"Regression results P-value":"0.780","Regression results R2":"0.006"};{};{};PMC4266912
19;Soluble solids content;{"Regression results P-value":"0.008","Regression results R2":"0.115"};{};{};PMC4266912
20;Titratable acidity;{"Regression results P-value":"0.219","Regression results R2":"0.038"};{};{};PMC4266912
21;Asc;{};{"Disease":"Alternaria stem canker","Resistance source":"L. pennellii","References":"[309, 310]","Chromosomal location":"3","Mapping population":"F2","Pathogen":"Alternaria alternata f. sp. lycopersici"};{};PMC2267253
22;Anthracnose (Q);{};{"Disease":"Anthracnose ripe rot","Resistance source":"L. esculentum","References":"[67]","Chromosomal location":"Various Chromosomes","Mapping population":"F2","Pathogen":"Colletotrichum coccodes"};{};PMC2267253
23;Meu-1;{};{"Disease":"Aphid (potato)","Resistance source":"L. peruvianum","References":"[38, 311, 312]","Chromosomal location":"6","Mapping population":"NIL F2","Pathogen":"Macrosiphum euphorbiae"};{};PMC2267253
24;Rcm 1.0–10.0 (Q);{};{"Disease":"","Resistance source":"L. peruvianum","References":"[313]","Chromosomal location":"1,6,7,8,9,10","Mapping population":"BC1","Pathogen":"Calvibacter michiganensis ssp. michiganensis"};{};PMC2267253
