Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,achieves_planned_objective,alternative term,assumes values specified by,concretizes,Contributor,Creator,curator note,Date,declares,definition,definition source,denotes,derives from,Description,editor note,editor preferred term,estimator of,example of usage,executes,Format,has coordinate unit label,has curation status,has denominator,has function,has grain,has measurement datum,has measurement unit label,has member,has numerator,has part,has participant,has quality,has role,has specified value,has time stamp,has value,has value specification,has x coordinate value,has y coordinate value,has_specified_input,has_specified_output,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/elements/1.1/license,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://usefulinc.com/ns/doap#bug-database,http://usefulinc.com/ns/doap#homepage,http://usefulinc.com/ns/doap#mailing-list,http://www.w3.org/2002/07/owl#versionInfo,IEDB alternative term,imported from,inheres in,is about,is bearer of,is concretized as,is declared by,is denoted by,is duration of,is function of,is located in,is member of,is member of organization,is part of,is preceded by,is realized by,is role of,is_proxy_for,is_specified_input_of,is_specified_output_of,is_supported_by_data,ISA alternative term,participates in,precedes,preferred mathematical notation,Python command,R command,realizes,s depends on,specifies value of,STATO alternative term,Subject and Keywords,term editor,Title
http://purl.obolibrary.org/obo/STATO_0000154,violin plot,,"a violin plot is a plot combining the features of box plot and kernel density plot. The violin plot is therefore similar to box plot but it incorporated in the display the probability density of the data at different values.
Typically violin plots will include a marker for the median of the data and a box indicating the interquartile range, as in standard box plots.",false,,,http://purl.obolibrary.org/obo/IAO_0000038,,,,,,,,,,"a violin plot is a plot combining the features of box plot and kernel density plot. The violin plot is therefore similar to box plot but it incorporated in the display the probability density of the data at different values.
Typically violin plots will include a marker for the median of the data and a box indicating the interquartile range, as in standard box plots.","http://en.wikipedia.org/wiki/Violin_plot

and 


Hintze, J. L. and R. D. Nelson (1998). Violin plots: a box plot-density trace synergism. The American Statistician, 52(2):181-4.",,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.inside-r.org/packages/cran/vioplot/docs/vioplot


vioplot( x, ..., range=1.5, h, ylim, names, horizontal=FALSE, 
  col=""magenta"", border=""black"", lty=1, lwd=1, rectCol=""black"", 
  colMed=""white"", pchMed=19, at, add=FALSE, wex=1, 
  drawRect=TRUE)",,,,,,Alejandra Gonzalez-Beltran|Orlaith Burke|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000358,Huynh-Feldt covariance structure,,,false,,,http://purl.obolibrary.org/obo/STATO_0000346,,HF,,,,,,,,,"http://support.sas.com/documentation/cdl/en/statug/63033/HTML/default/viewer.htm#statug_mixed_sect019.htm

Huynh and Feldt 1970",,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tom Nichols|Orlaith Burke|Alejandra Gonzalez-Beltran|Camille Maumet|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000166,bar chart,bar plot,the bart chart is a graph resulting from plotting rectangular bars with lengths proportional to the values that they represent.,false,,,http://purl.obolibrary.org/obo/IAO_0000038,,,,,,,,,,the bart chart is a graph resulting from plotting rectangular bars with lengths proportional to the values that they represent.,adapted from wikipedia (http://en.wikipedia.org/wiki/Bar_chart) polled in June 2013,,,,,,,A bar chart is appropriate to represent counts of data.,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"barplot(height, ...)

http://stat.ethz.ch/R-manual/R-patched/library/graphics/html/barplot.html",,,,bar plot,,Alejandra Gonzalez-Beltran|Orlaith Burke|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/UO_0000003,time unit,,A unit which is a standard measure of the dimension in which events occur in sequence.,false,,,http://purl.obolibrary.org/obo/IAO_0000003,,,,,,,,,,A unit which is a standard measure of the dimension in which events occur in sequence.,,,,,,time unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl|http://purl.obolibrary.org/obo/uo.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/STATO_0000335,survival distribution,,Probability distribution estimated empirically from a censored lifetime data,false,,,http://purl.obolibrary.org/obo/STATO_0000330,,,,,,,,,,Probability distribution estimated empirically from a censored lifetime data,http://reference.wolfram.com/language/ref/SurvivalDistribution.html,,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Nichols|Alejandra Gonzalez-Beltran|Orlaith Burke|Camille Maumet|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000165,pie chart,,"a pie chart is a graph in which a circular graph is divided into sector illustrating numerical proportion, meaning that the arc length of each sector (and consequently its central angle and area), is proportional to the quantity it represents.",false,,,http://purl.obolibrary.org/obo/IAO_0000038,,,,,,,,,,"a pie chart is a graph in which a circular graph is divided into sector illustrating numerical proportion, meaning that the arc length of each sector (and consequently its central angle and area), is proportional to the quantity it represents.","adapted from Wikipedia, last accessed [2014-03-05]
http://en.wikipedia.org/wiki/Pie_chart",,,,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pie(x, labels = names(x), edges = 200, radius = 0.8,
    clockwise = FALSE, init.angle = if(clockwise) 90 else 0,
    density = NULL, angle = 45, col = NULL, border = NULL,
    lty = NULL, main = NULL, ...)

https://stat.ethz.ch/R-manual/R-devel/library/graphics/html/pie.html",,,,,,Alejandra Gonzalez-Beltran|Orlaith Burke|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/STATO_0000100,standardized mean difference,Cohen's d statistic,"standardized mean difference is data item computed by forming the difference between two means, divided by an estimate of the within-group standard deviation.
It is used to provide an estimatation of the effect size between two treatments when the predictor (independent variable) is categorical and the response(dependent) variable is continuous",false,,,http://purl.obolibrary.org/obo/STATO_0000085|http://purl.obolibrary.org/obo/IAO_0000109,,SMD,,,,,,,,"standardized mean difference is data item computed by forming the difference between two means, divided by an estimate of the within-group standard deviation.
It is used to provide an estimatation of the effect size between two treatments when the predictor (independent variable) is categorical and the response(dependent) variable is continuous","adapted from ""Effect size, confidence interval and statistical significance: a practical guide for biologists""  Nakagawa and Cuthill
DOI: 10.1111/j.1469-185X.2007.00027.x|adapted from http://htaglossary.net/standardised+mean+difference+(SMD)
|http://purl.obolibrary.org/obo/IAO_0000122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000085,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/STATO_0000175,,,,,,,,,,,,Cohen's d statistic,,Orlaith Burke|Alejandra Gonzalez-Beltran|Philippe Rocca-Serra,
http://purl.obolibrary.org/obo/OBI_0200036,Benjamini and Hochberg false discovery rate correction method,,A data transformation process in which the Benjamini and Hochberg method sequential p-value procedure  is applied with the aim of correcting false discovery rate,false,,,http://purl.obolibrary.org/obo/OBI_0200163,http://purl.obolibrary.org/obo/OBI_0000791,,,,,,,,,A data transformation process in which the Benjamini and Hochberg method sequential p-value procedure  is applied with the aim of correcting false discovery rate,Helen Parkinson,,,,,Benjamini and Hochberg false discovery rate correction method,,Statistical significance of the 8 most represented biological processes (GO level 4) among E7 6 month upregulated genes following analysis with DAVID software; Benjamini-Hochberg FDR (false discovery rate),,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/OBI_0000175,http://purl.obolibrary.org/obo/OBI_0000662|http://purl.obolibrary.org/obo/OBI_0001442,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippe Rocca-Serra|Helen Parkinson,
http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens,,,false,,,http://purl.obolibrary.org/obo/NCBITaxon_314146,,human being|man|human,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/ncbitaxon.owl|http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/OBI_0200083,survival analysis objective,,A data transformation objective which has the data transformation aims to model time to event data (where events are e.g. death and or disease recurrence); the purpose of survival analysis is to model the underlying distribution of event times and to assess the dependence of the event time on other explanatory variables,false,,,http://purl.obolibrary.org/obo/OBI_0200166,,survival analysis,,,,,,,,A data transformation objective which has the data transformation aims to model time to event data (where events are e.g. death and or disease recurrence); the purpose of survival analysis is to model the underlying distribution of event times and to assess the dependence of the event time on other explanatory variables,http://en.wikipedia.org/wiki/Survival_analysis,,,,,survival analysis objective,,Kaplan meier data transformation,,,,http://purl.obolibrary.org/obo/IAO_0000120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/obi.owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSON: James Malone|PERSON: Tina Boussard,
