QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 1_1	Maturity	Maturity		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_2	Maturity	Maturity		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_3	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_4	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_5	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_6	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_7	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_8	Plant architecture	Plant architecture		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 1_9	Plant architecture	Plant architecture		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 1
PMC4321030_TABLE 2_1	Maturity	Maturity		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_2	Maturity	Maturity		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_3	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g10050	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_4	Yield	yield	http://purl.obolibrary.org/obo/SP_0000198	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	cLEX4G10-C2_At5g04590	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_5	Fruit size/shape	fruit	http://purl.obolibrary.org/obo/PO_0009001	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_6	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_7	Fruit quality	fruit quality	http://purl.obolibrary.org/obo/TO_0002728	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
