 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/TO_0011006" , "penultimate leaf lamina width" , "PENLFLWD" ,
 "http://purl.obolibrary.org/obo/TO_0011006" , "penultimate leaf lamina width" , "second leaf width" ,
 "http://purl.obolibrary.org/obo/TO_0002763" , "curved length of grain with hull" , "hulled grain curved length" ,
 "http://purl.obolibrary.org/obo/TO_0002763" , "curved length of grain with hull" , "HULGRCURVLG" ,
 "http://purl.obolibrary.org/obo/TO_0000638" , "spike width" , "SPIKEWD" ,
 "http://purl.obolibrary.org/obo/TO_0000222" , "head rice" , "head rice ratio" ,
 "http://purl.obolibrary.org/obo/TO_0000222" , "head rice" , "head milled rice" ,
 "http://purl.obolibrary.org/obo/TO_0000222" , "head rice" , "HEADR" ,
 "http://purl.obolibrary.org/obo/TO_0011010" , "internode color in proxomity to colored node" , "INCLPROXNDCL" ,
 "http://purl.obolibrary.org/obo/TO_0000388" , "forage yield" , "FRGYLD" ,
 "http://purl.obolibrary.org/obo/TO_0000388" , "forage yield" , "straw yield" ,
 "http://purl.obolibrary.org/obo/TO_0000388" , "forage yield" , "FY" ,
 "http://purl.obolibrary.org/obo/TO_0002690" , "leaf lamina length" , "LFLLG" ,
 "http://purl.obolibrary.org/obo/TO_0000394" , "drought related trait" , "dessication related trait" ,
 "http://purl.obolibrary.org/obo/TO_0000630" , "pedicel length" , "PDCLG" ,
 "http://purl.obolibrary.org/obo/TO_0000012" , "hydrogen sensitivity" , "molecular hydrogen sensitivity" ,
 "http://purl.obolibrary.org/obo/TO_0000012" , "hydrogen sensitivity" , "hydrogen ion sensitivity" ,
 "http://purl.obolibrary.org/obo/TO_0000423" , "gall midge resistance" , "GM" ,
 "http://purl.obolibrary.org/obo/TO_0000423" , "gall midge resistance" , "GMRS" ,
 "http://purl.obolibrary.org/obo/TO_0000144" , "milled rice" , "milled rice ratio" ,
 "http://purl.obolibrary.org/obo/TO_0000144" , "milled rice" , "MR" ,
 "http://purl.obolibrary.org/obo/TO_0000332" , "rice whorl maggot resistance" , "RWMRS" ,
 "http://purl.obolibrary.org/obo/TO_0000332" , "rice whorl maggot resistance" , "RWM" ,
 "http://purl.obolibrary.org/obo/TO_0002753" , "arrangement of inflorescence primary branch" , "arrangement of primary branch" ,
 "http://purl.obolibrary.org/obo/TO_0002753" , "arrangement of inflorescence primary branch" , "PBRARANGE" ,
 "http://purl.obolibrary.org/obo/TO_0002753" , "arrangement of inflorescence primary branch" , "primary branch arrangement" ,
 "http://purl.obolibrary.org/obo/TO_0000622" , "flower development trait" , "floret development trait" ,
 "http://purl.obolibrary.org/obo/TO_0000705" , "acid phosphatase activity trait" , "ACIDPASEACT" ,
 "http://purl.obolibrary.org/obo/TO_0000460" , "light intensity sensitivity" , "light intensity response" ,
 "http://purl.obolibrary.org/obo/TO_0000553" , "rhizome length" , "average rhizome length" ,
 "http://purl.obolibrary.org/obo/TO_0000553" , "rhizome length" , "RHZLG" ,
 "http://purl.obolibrary.org/obo/TO_0000029" , "chlorine sensitivity" , "CHLORSN" ,
 "http://purl.obolibrary.org/obo/TO_0000135" , "leaf length" , "LL" ,
 "http://purl.obolibrary.org/obo/TO_0000135" , "leaf length" , "lfln" ,
 "http://purl.obolibrary.org/obo/TO_0000135" , "leaf length" , "LFLG" ,
 "http://purl.obolibrary.org/obo/TO_0000733" , "lignin biosynthesis trait" , "lignin biosynthesis" ,
 "http://purl.obolibrary.org/obo/TO_0000134" , "alkali digestion" , "ALKDIG" ,
 "http://purl.obolibrary.org/obo/TO_0000134" , "alkali digestion" , "AlkD" ,
 "http://purl.obolibrary.org/obo/TO_0000322" , "phenotypic acceptability" , "PAcp" ,
 "http://purl.obolibrary.org/obo/TO_0000322" , "phenotypic acceptability" , "overall liking" ,
 "http://purl.obolibrary.org/obo/TO_0000696" , "starch content" , "STARCHCN" ,
 "http://purl.obolibrary.org/obo/TO_0000137" , "days to heading" , "heading date" ,
 "http://purl.obolibrary.org/obo/TO_0000137" , "days to heading" , "DTHD" ,
 "http://purl.obolibrary.org/obo/TO_0000417" , "lemma and palea pubescence" , "LmPb" ,
 "http://purl.obolibrary.org/obo/TO_0002644" , "dry matter digestibility" , "DMATTDIGAB" ,
 "http://purl.obolibrary.org/obo/TO_0000206" , "leaf angle" , "LFAG" ,
 "http://purl.obolibrary.org/obo/TO_0000206" , "leaf angle" , "LBP" ,
 "http://purl.obolibrary.org/obo/TO_0000670" , "floret number" , "FLNB" ,
 "http://purl.obolibrary.org/obo/TO_0000924" , "cob color" , "cobpig" ,
 "http://purl.obolibrary.org/obo/TO_0000041" , "brown rice length" , "BRWLG" ,
 "http://purl.obolibrary.org/obo/TO_0000041" , "brown rice length" , "Len" ,
 "http://purl.obolibrary.org/obo/TO_0000342" , "panicle axis angle" , "PnAk" ,
 "http://purl.obolibrary.org/obo/TO_0000530" , "adaxial stomatal frequency" , "ADXSTOFQ" ,
 "http://purl.obolibrary.org/obo/TO_0000207" , "plant height" , "shoot height" ,
 "http://purl.obolibrary.org/obo/TO_0000207" , "plant height" , "PTHT" ,
 "http://purl.obolibrary.org/obo/TO_0000207" , "plant height" , "Ht" ,
 "http://purl.obolibrary.org/obo/TO_0000504" , "leaf temperature" , "LFTMP" ,
 "http://purl.obolibrary.org/obo/TO_0000503" , "leaf rolling time" , "LFRLTM" ,
 "http://purl.obolibrary.org/obo/TO_0000220" , "rice bug resistance" , "RB" ,
 "http://purl.obolibrary.org/obo/TO_0000220" , "rice bug resistance" , "BUGRS" ,
 "http://purl.obolibrary.org/obo/TO_1000015" , "leaf lamina lobe width" , "leaf lobe width" ,
 "http://purl.obolibrary.org/obo/TO_0000090" , "penetrated root thickness" , "prt" ,
 "http://purl.obolibrary.org/obo/TO_0000090" , "penetrated root thickness" , "PENRTTH" ,
 "http://purl.obolibrary.org/obo/TO_0000606" , "diastatic power" , "DIASPWR" ,
 "http://purl.obolibrary.org/obo/TO_0000132" , "basal internode diameter" , "BAINDIA" ,
 "http://purl.obolibrary.org/obo/TO_0000132" , "basal internode diameter" , "DBI" ,
 "http://purl.obolibrary.org/obo/TO_0001036" , "stem senescence" , "culm senescence" ,
 "http://purl.obolibrary.org/obo/TO_0020083" , "stem diameter" , "culm diameter" ,
 "http://purl.obolibrary.org/obo/TO_0000472" , "vascular bundle number" , "VBNB" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "panicle number per plant" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "number of panicle" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "number of effective tiller per plant" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "seed setting tillers per plant" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "panicle number per tiller" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "PN" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "NOP" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "NP" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "TP" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "spike number" ,
 "http://purl.obolibrary.org/obo/TO_0000152" , "panicle number" , "PNNB" ,
 "http://purl.obolibrary.org/obo/TO_0000286" , "submergence sensitivity" , "Sub" ,
 "http://purl.obolibrary.org/obo/TO_0000286" , "submergence sensitivity" , "submergence tolerance" ,
 "http://purl.obolibrary.org/obo/TO_0000286" , "submergence sensitivity" , "SUBSN" ,
 "http://purl.obolibrary.org/obo/TO_0000456" , "spikelet number" , "number of spikelets per panicle" ,
 "http://purl.obolibrary.org/obo/TO_0000456" , "spikelet number" , "spikelet number per panicle" ,
 "http://purl.obolibrary.org/obo/TO_0000456" , "spikelet number" , "SPKNB" ,
 "http://purl.obolibrary.org/obo/TO_0000692" , "NCLB incubation period" , "NLFBTINCUBPD" ,
 "http://purl.obolibrary.org/obo/TO_0000690" , "maysin content" , "MAYSINCN" ,
 "http://purl.obolibrary.org/obo/TO_0000298" , "chlorophyll ratio" , "chl-a to chl-b ratio" ,
 "http://purl.obolibrary.org/obo/TO_0000298" , "chlorophyll ratio" , "CHLRO" ,
 "http://purl.obolibrary.org/obo/TO_0000298" , "chlorophyll ratio" , "chlorophyll content ratio" ,
 "http://purl.obolibrary.org/obo/TO_0000780" , "peduncle attachment" , "pod attachment" ,
