pmc_id,tab_lb,row_id,tab_id,trait_in_article,trait_in_onto,trait_uri,chromosome,marker,marker_uri,gene,gene_uri,doi
6034811,3,1,2,qrAUDPC-3,"","",3,c2_229,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_229,,,10.1371/journal.pone.0199716
6034811,3,2,2,qrAUDPC-8,"","",8,c2_16993,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_16993,,,10.1371/journal.pone.0199716
6034811,3,3,2,qrAUDPC-5,"","",5,c2_11822,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_11822,,,10.1371/journal.pone.0199716
6034811,3,4,2,qrAUDPC-4,"","",4,c1_16191,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_16191,,,10.1371/journal.pone.0199716
6034811,3,5,2,qrAUDPC-3.1,"","",3,c2_17559,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_17559,,,10.1371/journal.pone.0199716
6034811,3,6,2,qrAUDPC-1,"","",1,c2_9878,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_9878,,,10.1371/journal.pone.0199716
6034811,4,1,3,qIPC-2,"","",2,c1_7874,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_7874,,,10.1371/journal.pone.0199716
6034811,4,2,3,qIPC-6,"","",6,c2_33892,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_33892,,,10.1371/journal.pone.0199716
6034811,4,3,3,qIPC-10,"","",10,c1_13416,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_13416,,,10.1371/journal.pone.0199716
6034811,4,4,3,qIPC-7,"","",7,c2_52110,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_52110,,,10.1371/journal.pone.0199716
6034811,4,5,3,qIPC-10.1,"","",10,c2_48107,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_48107,,,10.1371/journal.pone.0199716
6034811,4,6,3,qIPA-4,"","",4,c1_11211,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_11211,,,10.1371/journal.pone.0199716
6034811,4,7,3,qIPA-2.1,"","",2,c2_32381,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_32381,,,10.1371/journal.pone.0199716
6034811,4,9,3,qIPA-12,"","",12,c1_16443,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c1_16443,,,10.1371/journal.pone.0199716
6034811,4,10,3,qSPA-3,"","",3,c2_20177,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_20177,,,10.1371/journal.pone.0199716
6034811,4,11,3,qSPA-4.1,"","",4,c2_21934,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_21934,,,10.1371/journal.pone.0199716
6034811,4,12,3,qOPA-7.1,"","",7,c2_10461,http://solgenomics.net/genome/Solanum_tuberosum/variation/solcap_snp_c2_10461,,,10.1371/journal.pone.0199716
