TraitOriginalName,TraitAnnotation,TraitAnnotationID,Property,ProAnnotation,ProAnnotationID,ActualProValue,pmcId,tableId
09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_0
09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_0
09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_1
09FD_120_L1_Lf5,09FD_120_L1_Lf5,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At2g31970-At4g12590,PMC3464107,PMC3464107_Table 4_1
09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,PMC3464107,PMC3464107_Table 4_0
09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,CT182-At1g21690,PMC3464107,PMC3464107_Table 4_0
09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At4g22260,PMC3464107,PMC3464107_Table 4_1
09FD_120_L12_Lf11-1,09FD_120_L12_Lf11-1,,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,CT182-At1g21690,PMC3464107,PMC3464107_Table 4_1
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 2
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 2
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_0
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 4_0
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At5g04590,PMC4321030,PMC4321030_TABLE 4_1
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,At1g44790-TG400,PMC4321030,PMC4321030_TABLE 4_1
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
30Wt,fruit weight,http://purl.obolibrary.org/obo/TO_0002746,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
AsA,AsA,,ASSOCIATION STATISTICS,ASSOCIATION STATISTICS,,Solyc03g112630.2.1,PMC4266912,PMC4266912_Table 3
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 2
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 2
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_0
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_0
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,T0408,PMC4321030,PMC4321030_TABLE 4_1
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Flanking Markers,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG194-J1,PMC4321030,PMC4321030_TABLE 4_1
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 2
Brix,total soluble solids,http://purl.obolibrary.org/obo/SP_0000165,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,TG358,PMC3852376,PMC3852376_Table 4
CD,plant canopy,http://purl.obolibrary.org/obo/SP_0000236,Peak Marker or Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,J1,PMC4321030,PMC4321030_TABLE 2
