qtl_id,TraitOriginalName,trait_name,trait_uri,feature_name #as it table,feature_name #ontology_term,feature_uri #ontology term ID,markers,marker_uri,pmcId,doi,tableId
PMC4948827_Table 3_1,qTSW_T13_A01_2,qTSW_T13_A01_2,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah126-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 3
PMC4948827_Table 3_2,qTSW_T13_A01_4,qTSW_T13_A01_4,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah126-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 3
PMC4948827_Table 4_1,qTSW_T13_A01_2,qTSW_T13_A01_2,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah126-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 4
PMC4948827_Table 4_2,qTSW_T13_A01_4,qTSW_T13_A01_4,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah126-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 4
PMC4948827_Table 3_3,qTSW_T11_A01,qTSW_T11_A01,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah21-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 3
PMC4948827_Table 4_3,qTSW_T11_A01,qTSW_T11_A01,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah21-GNB842,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 4
PMC4948827_Table 3_4,qTSW_T13_A01_3,qTSW_T13_A01_3,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah21-Seq13A10-1,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 3
PMC4948827_Table 4_4,qTSW_T13_A01_3,qTSW_T13_A01_3,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah21-Seq13A10-1,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 4
PMC4948827_Table 4_5,qTSW_T13_A01_1,qTSW_T13_A01_1,,Marker Interval,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah21-TC39E08,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 4
PMC4948827_Table 5_1,qELS_T10_A03_2,qELS_T10_A03_2,,Nearest Marker,marker,http://purl.obolibrary.org/obo/SO_0001645 ,Ah404,,PMC4948827,10.1371/journal.pone.0158452,PMC4948827_Table 5
