CO_322:0000001,Anthesis silking interval
CO_322:0000003,Chlorophyll content
CO_322:0000005,Grain yield
CO_322:0000007,Plant height to insertion of first tassel branch
CO_322:0000008,Plant stand
CO_322:0000010,Grain number
CO_322:0000011,Plant aspect
CO_322:0000012,Senescence
CO_322:0000013,Silk length
CO_322:0000014,Silk growth rate
CO_322:0000015,Ear length
CO_322:0000016,Ear growth rate
CO_322:0000017,Ear height
CO_322:0000018,Ear aspect
CO_322:0000019,Ear leaf length
CO_322:0000020,Ear position
CO_322:0000021,Ear number
CO_322:0000024,Young leaf chlorophyll content
CO_322:0000025,Leaf length
CO_322:0000026,Leaf width
CO_322:0000027,Tassel branch weight
CO_322:0000028,Tassel branch number
CO_322:0000030,Anthesis time
CO_322:0000031,Silking time
CO_322:0000032,Maturity time
CO_322:0000033,Grain moisture
CO_322:0000034,Root lodging incidence
CO_322:0000035,Stem lodging incidence
CO_322:0000038,Tassel size
CO_322:0000039,Grain texture
CO_322:0000041,Endosperm hardness
CO_322:0000046,Fungal disease presence
CO_322:0000049,Corn stunt incidence
CO_322:0000050,Stewarts wilt incidence
CO_322:0000051,Bacterial leaf stripe severity
CO_322:0000052,Bacterial stalk rot incidence
CO_322:0000053,Maize bushy stunt severity
CO_322:0000054,Rust severity
CO_322:0000055,Polysora rust severity
CO_322:0000056,Tropical rust severity
CO_322:0000057,Maydis leaf blight severity
CO_322:0000058,Anthracnose leaf blight incidence
CO_322:0000059,Tillering
CO_322:0000060,Black bundle incidence
CO_322:0000061,Stalk rot incidence
CO_322:0000062,Charcoal rot incidence
CO_322:0000063,Fusarium stalk rot incidence
CO_322:0000064,Fusarium moniliforme stalk rot incidence
CO_322:0000065,Fusarium graminearum stalk rot incidence
CO_322:0000066,Stenocarpella stalk rot incidence
CO_322:0000067,Pythium stalk rot incidence
CO_322:0000068,Ear rot incidence
CO_322:0000069,Fusarium ear rot severity
CO_322:0000070,Fusarium graminearum ear rot severity
CO_322:0000071,Fusarium moniliforme ear rot severity
CO_322:0000072,Aspergillus flavus ear rot severity
CO_322:0000073,Stenocarpella ear rot severity
CO_322:0000074,Penicillium ear rot severity
CO_322:0000075,Downy mildew severity
CO_322:0000076,Philippine downy mildew incidence
CO_322:0000077,Sugarcane downy mildew incidence
CO_322:0000078,Brown stripe downy mildew incidence
CO_322:0000079,Java downy mildew incidence
CO_322:0000080,Sorghum downy mildew incidence
CO_322:0000081,Crazy top downy mildew incidence
CO_322:0000082,Common smut severity
CO_322:0000083,Head smut incidence
CO_322:0000084,Banded leaf and sheath blight severity
CO_322:0000085,Common rust severity
CO_322:0000086,Brown spot severity
CO_322:0000088,Gray leaf spot severity
CO_322:0000089,Curvularia leaf spot severity
CO_322:0000090,Phaeosphaeria leaf spot severity
CO_322:0000091,Tar spot complex severity
CO_322:0000092,Turcicum leaf blight severity
CO_322:0000093,Seedling disease incidence
CO_322:0000094,Mal de rio cuarto virus incidence
CO_322:0000095,Maize rayado fino virus incidence
CO_322:0000097,Maize rough dwarf virus incidence
CO_322:0000098,Maize stripe virus incidence
CO_322:0000099,Maize dwarf mosaic virus incidence
CO_322:0000100,Maize streak virus incidence
CO_322:0000101,Sugarcane mosaic virus incidence
CO_322:0000102,Root capacitance
CO_322:0000103,Grain Tryptophan content
CO_322:0000105,Ear leaf chlorophyll content
CO_322:0000106,Endosperm Tryptophan content
CO_322:0000108,Grain Lysine content
CO_322:0000109,Endosperm Lysine content
CO_322:0000110,Grain iron content
CO_322:0000111,Grain zinc content
CO_322:0000112,Ear leaf weight
CO_322:0000113,Grain abscisic acid content
CO_322:0000114,Grain sugar content
CO_322:0000115,Grain glucose content
CO_322:0000117,Osmotic adjustment
CO_322:0000118,Osmotic potential
CO_322:0000119,Root proline content
CO_322:0000120,Grain sucrose content
CO_322:0000122,Grain protein content
CO_322:0000123,Endosperm protein content
CO_322:0000125,Grain provitaminA content
CO_322:0000126,Grain starch content
CO_322:0000127,Large grain borer damage
CO_322:0000128,Aphid damage
CO_322:0000129,Maize weevil incidence
CO_322:0000130,Maize weevil number in Grain
CO_322:0000131,Grain weight loss by maize weevil
CO_322:0000132,Normalized difference vegetation index
CO_322:0000133,Grain weight
CO_322:0000134,Stomatal conductance
CO_322:0000137,Grain ash content
CO_322:0000140,Photochemical radiation index
CO_322:0000141,Water index
CO_322:0000142,Canopy temperature
CO_322:0000143,Ear leaf senescence time
CO_322:0000144,Silk growth
CO_322:0000145,Ear growth
CO_322:0000146,Grain color
CO_322:0000149,Ear husk cover
CO_322:0000150,Ear bad husk cover incidence
CO_322:0000151,Multiple cob incidence
CO_322:0000152,Busseola incidence
CO_322:0000153,Earworm incidence
CO_322:0000154,Army worm damage
CO_322:0000155,Chilo damage
CO_322:0000156,Diabrotica damage
CO_322:0000157,Diatraea damage
CO_322:0000158,Striga damage
CO_322:0000159,Stem borer damage
CO_322:0000160,Leaf rolling severity
CO_322:0000161,Late wilt incidence
CO_322:0000162,Stem color
CO_322:0000163,Sheath pubescence
CO_322:0000164,Tassel branching type
CO_322:0000165,Ear damage
CO_322:0000166,Grain row arrangement
CO_322:0000167,Grain row number
CO_322:0000168,Grain type
CO_322:0000170,Ear diameter
CO_322:0000171,Uppermost ear shape
CO_322:0000172,Grain length
CO_322:0000175,Grain width
CO_322:0000178,Grain upper surface shape
CO_322:0000182,Maize lethal necrosis severity
CO_322:0000184,Grain thickness
CO_322:0000186,Endosperm color
CO_322:0000188,Tassel blasting severity
CO_322:0000190,Aleurone color
CO_322:0000192,Pericarp color
CO_322:0000214,Aflatoxin content
CO_322:0000488,Corn stunt spiroplasma severity
CO_322:0000520,Aspergillus ear rot severity
CO_322:0000523,Ear harvested number
CO_322:0000524,Ear weight
CO_322:0000526,Ear shelling ratio
CO_322:0000533,Grain oil content
CO_322:0000537,Leaf color
CO_322:0000538,Leaf erectness
CO_322:0000539,Silk Anthocyanin coloration
CO_322:0000540,Standard germination
CO_322:0000541,Tassel Anthocyanin coloration
CO_322:0000542,Tassel density
CO_322:0000543,Tassel exertion
CO_322:0000544,Tassel opening
CO_322:0000545,Plant uniformity
CO_322:0000546,Plant vigor
CO_322:0000550,Plants harvested
CO_322:0000556,Common smut incidence
CO_322:0000651,Anther Anthocyanin coloration
CO_322:0000664,Ear shape
CO_322:0000685,Earworm damage
CO_322:0000772,Leaf ash content
CO_322:0000808,Busseola damage
CO_322:0000829,Sorghum downy mildew severity
CO_322:0000841,Fusarium moniliforme stalk rot severity
CO_322:0000852,Head smut severity
CO_322:0000857,Lodging incidence
CO_322:0000878,Maize streak virus severity
CO_322:0000925,Shelled cob weight
CO_322:0000938,Striga plant number
CO_322:0000944,Tassel glumes base Anthocyanin coloration
CO_322:0000947,Tassel glumes Anthocyanin coloration
CO_322:0000978,Leaf sucrose content
CO_322:0000990,Grain viability
CO_322:0000994,Plant height
CO_322:0000997,Plant height to ligule of the flag leaf
CO_322:0001005,Grain test weight
CO_322:0001017,Seedling vigor
CO_322:0001054,Maize dwarf mosaic virus severity
CO_322:0001083,Cob glumes Anthocyanin coloration
CO_322:0001086,Cob glumes color
CO_322:0001091,Ear width
CO_322:0001099,Cob sucrose content
CO_322:0001104,Grain proline content
CO_322:0001108,Leaf abscisic acid content
CO_322:0001110,Leaf proline content
CO_322:0001114,Root abscisic acid content
CO_322:0001116,Root glucose content
CO_322:0001118,Root sucrose content
CO_322:0001120,Grain Nitrogen content
