lemma,poscode,surface
Katacalcin,3,http://bio2rdf.org/kegg:C15876, Katacalcin, Calcitonin carboxyl-terminal flanking peptide, Pdn-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaur-16-en-18-al,3,http://bio2rdf.org/kegg:C11873, Kaur-16-en-18-al, (-)-Kaur-16-en-18-al, 4alpha-Kaur-16-en-18-al, Kaurenal, ent-Kaurenal, ent-Kaur-16-en-19-al,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaur-16-en-18-oic acid,3,http://bio2rdf.org/kegg:C11874, Kaur-16-en-18-oic acid, (-)-Kaur-16-en-19-oic acid, Kaurenic acid, Kaurenoic acid, ent-Kaur-16(17)-en-19-oic acid, ent-Kaurenoic acid, ent-Kaur-16-en-19-oic acid, ent-Kaur-16-en-19-oate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaur-16-en-18-ol,3,http://bio2rdf.org/kegg:C11872, Kaur-16-en-18-ol, (-)-Kaur-16-en-18-ol, Kaurenol, ent-Kaur-16-en-19-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawain,3,http://bio2rdf.org/kegg:C09947, Kawain, Kavain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keratan sulfate,3,http://bio2rdf.org/kegg:C00573, Keratan sulfate, Kerato sulfate, Keratan 6'-sulfate, Keratan, Kerato 6'-sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ketone,3,http://bio2rdf.org/kegg:C01450, Ketone, R-CO-R',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khellol glucoside,3,http://bio2rdf.org/kegg:C09011, Khellol glucoside, Khelloside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetin,3,http://bio2rdf.org/kegg:C08272, Kinetin, 6-Furfuryladenine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinobscurinone,3,http://bio2rdf.org/kegg:C12391, Kinobscurinone,4,9-Dihydroxy-2-methyl-11H-benzo[b]fluorene-5,10,11-trione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitasamycin,3,http://bio2rdf.org/kegg:C14064, Kitasamycin, Leucomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kojibiose,3,http://bio2rdf.org/kegg:C19632, Kojibiose, 2-O-alpha-D-Glucopyranosyl-D-glucose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kojic acid,3,http://bio2rdf.org/kegg:C14516, Kojic acid, 5-Hydroxy-2-(hydroxymethyl)-4-pyrone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kokusaginine,3,http://bio2rdf.org/kegg:C10701, Kokusaginine, Furo(2,3-b)quinoline,4,6,7-trimethoxy-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kresoxim-methyl,3,http://bio2rdf.org/kegg:C11017, Kresoxim-methyl, BAS 490 F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunzeaol,3,http://bio2rdf.org/kegg:C20576, Kunzeaol, 6beta-Hydroxygermacra-1(10),4-diene, (1R,2E,6E,10R)-3,7-Dimethyl-10-isopropylcyclodeca-2,6-dienol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kynostatin 272,3,http://bio2rdf.org/kegg:C15655, Kynostatin 272, KNI-272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kynurenine,3,http://bio2rdf.org/kegg:C01718, Kynurenine, 3-Anthraniloylalanine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyotorphin,3,http://bio2rdf.org/kegg:C02993, Kyotorphin, L-Tyrosyl-L-arginine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-(-)-1-Butyl-2',3,http://bio2rdf.org/kegg:C07887, L-(-)-1-Butyl-2',6'-pipecoloxylidide, Levobupivacaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-(+)-Anaferine,3,http://bio2rdf.org/kegg:C06183, L-(+)-Anaferine, Anapheline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-1-Aminopropan-2-ol O-phosphate,3,http://bio2rdf.org/kegg:C04126, L-1-Aminopropan-2-ol O-phosphate, (S)-1-Aminopropan-2-yl phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-1-Pyrroline-3-hydroxy-5-carboxylate,3,http://bio2rdf.org/kegg:C04281, L-1-Pyrroline-3-hydroxy-5-carboxylate, 3-Hydroxy-L-1-pyrroline-5-carboxylate, (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Amino-3-oxobutanoic acid,3,http://bio2rdf.org/kegg:C03508, L-2-Amino-3-oxobutanoic acid, L-2-Amino-3-oxobutanoate, L-2-Amino-acetoacetate, (S)-2-Amino-3-oxobutanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Amino-6-oxoheptanedioate,3,http://bio2rdf.org/kegg:C03871, L-2-Amino-6-oxoheptanedioate, L-2-Amino-6-oxopimelate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Aminoadipate,3,http://bio2rdf.org/kegg:C00956, L-2-Aminoadipate, L-alpha-Aminoadipate, L-alpha-Aminoadipic acid, L-2-Aminoadipic acid, L-2-Aminohexanedioate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Aminoadipate 6-semialdehyde,3,http://bio2rdf.org/kegg:C04076, L-2-Aminoadipate 6-semialdehyde, 2-Aminoadipate 6-semialdehyde, L-Allysine, Allysine, (S)-2-Amino-6-oxohexanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Aminoadipate adenylate,3,http://bio2rdf.org/kegg:C05560, L-2-Aminoadipate adenylate, 5-Adenylyl-2-aminoadipate, alpha-Aminoadipoyl-C6-AMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-2-Methyltryptophan,3,http://bio2rdf.org/kegg:C16831, L-2-Methyltryptophan, 2-Methyl-L-tryptophan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-3-Amino-isobutanoate,3,http://bio2rdf.org/kegg:C03284, L-3-Amino-isobutanoate, (S)-3-Amino-isobutyrate, L-3-Amino-isobutyrate, (S)-3-Amino-isobutanoate, (S)-3-Amino-2-methylpropanoate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-365260,3,http://bio2rdf.org/kegg:C15026, L-365260, N-[(3R)-2,3-Dihydro-1-methyl-2-oxo-5-phenyl-1H-1,4-benzodiazepin-3-yl]-N'-(3-methylphenyl)urea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-4-Hydroxyphenylglycyl-L-arginine,3,http://bio2rdf.org/kegg:C20910, L-4-Hydroxyphenylglycyl-L-arginine, L-pHPg-L-Arg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Adrenaline,3,http://bio2rdf.org/kegg:C00788, L-Adrenaline, (R)-(-)-Adrenaline, (R)-(-)-Epinephrine, (R)-(-)-Epirenamine, (R)-(-)-Adnephrine, 4-[(1R)-1-Hydroxy-2-(methylamino)ethyl]-1,2-benzenediol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Alanine,3,http://bio2rdf.org/kegg:C00041, L-Alanine, L-2-Aminopropionic acid, L-alpha-Alanine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Alanyl-gamma-D-glutamyl-meso-2,3,http://bio2rdf.org/kegg:C20925, L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate, L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Alanyl-tRNA,3,http://bio2rdf.org/kegg:C00886, L-Alanyl-tRNA, L-Alanyl-tRNA(Ala),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-Albizziine,3,http://bio2rdf.org/kegg:C08264, L-Albizziine, Albizziin, L-2-Amino-3-ureidopropionic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
