"&Delta;<sup>24-25</sup>-sitosterol"	("&Delta;<sup>24-25</sup>-sitosterol")	
"&alpha;,&alpha;-trehalose"	("&alpha;,&alpha;-trehalose" "&alpha;-D-glucopyranosyl &alpha;-D-glucopyranoside" "&alpha;-D-Glcp-(1&harr;1)-&alpha;-D-Glcp" "D-(+)-trehalose")	("&alpha;-D-glucopyranosyl &alpha;-D-glucopyranoside" "&alpha;-D-Glcp-(1&harr;1)-&alpha;-D-Glcp" "D-(+)-trehalose")
"&alpha;,&alpha;-trehalose 6-phosphate"	("&alpha;,&alpha;-trehalose 6-phosphate" "&alpha;,&alpha;-D-trehalose 6-phosphate")	("&alpha;,&alpha;-D-trehalose 6-phosphate")
"&alpha;,&omega;-9<i>Z</i>-octadecenedioate"	("&alpha;,&omega;-9<i>Z</i>-octadecenedioate" "&alpha;,&omega;-9<i>Z</i>-octadecenedioic acid" "1,18-9<i>Z</i>-octadecenedioic acid" "octadecenedioate" "18-carboxyl oleate")	("&alpha;,&omega;-9<i>Z</i>-octadecenedioic acid" "1,18-9<i>Z</i>-octadecenedioic acid" "octadecenedioate" "18-carboxyl oleate")
"&alpha;-(2-methoxyphenoxy)-&beta;-hydroxypropiovanillone"	("&alpha;-(2-methoxyphenoxy)-&beta;-hydroxypropiovanillone" "MPHPV")	("MPHPV")
"&alpha;-D,&alpha;-D-digalacturonate"	("&alpha;-D,&alpha;-D-digalacturonate" "&alpha;-D,&alpha;-D-digalacturonic acid" "pectin disaccharide" "&alpha;-D-D-galactosyluronate-(1&rarr;4)-&alpha;-D-galacturonic acid" "&alpha;-D-GalA-(11&rarr;44)-&alpha;-D-GalA")	("&alpha;-D,&alpha;-D-digalacturonic acid" "pectin disaccharide" "&alpha;-D-D-galactosyluronate-(1&rarr;4)-&alpha;-D-galacturonic acid" "&alpha;-D-GalA-(11&rarr;44)-&alpha;-D-GalA")
"&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol"	("&alpha;-D-Glc-(1&rarr;2)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol" "a (glucosyl)<sub>3</sub>(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")	("a (glucosyl)<sub>3</sub>(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")
"&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol"	("&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol" "an {&alpha;-D-glucosyl-(1->3)-&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "{&alpha;-D-glucosyl-(1->3)-&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "a (glucosyl)<sub>2</sub>(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")	("an {&alpha;-D-glucosyl-(1->3)-&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "{&alpha;-D-glucosyl-(1->3)-&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "a (glucosyl)<sub>2</sub>(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")
"&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol"	("&alpha;-D-Glc-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;3)-[&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;6)]-&alpha;-D-Man-(1&rarr;6)]-&beta;-D-Man-(1&rarr;4)-&beta;-D-GlcNAc-(1&rarr;4)-&alpha;-D-GlcNAc-diphosphodolichol" "an {&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "{&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "a glucosyl-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")	("an {&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "{&alpha;-D-glucosyl-(1->3)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1->3)-[&alpha;-D-mannosyl-(1->2)-&alpha;-D-mannosyl-(1,6)]-&alpha;-D-mannosyl-(1,6)]-&beta;-D-mannosyl-(1->4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-(1->4)-<i>N</i>-acetyl-D-glucosaminyl}diphosphodolichol" "a glucosyl-(mannosyl)<sub>9</sub>-(<i>N</i>-acetylglucosaminyl)<sub>2</sub>-diphosphodolichol")
"&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A"	("&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A" "Re endotoxin" "(Kdo)<sub>2</sub>-lipid A" "Kdo<sub>2</sub>-lipid A")	("Re endotoxin" "(Kdo)<sub>2</sub>-lipid A" "Kdo<sub>2</sub>-lipid A")
